docid,entrytype,org_id,doc_title,doc_dept,doc_juris,doc_type,doc_reference,doc_mod_date,organization,phone,website,possible_data_sources,contact_f,contact_l,contact_title,number,email,address1,address2,state,city,zip,fax,mail_to,right_to_know_section,right_to_know_law,public_record_policy,request_form,open_data_set_count,type,link,format
1,org,0,Allegheny County - Address Points,City Planning,Alleghency County,Zip,http://www.pasda.psu.edu/uci/SearchResults.aspx?originator=Allegheny%20County&Keyword=&&searchType=originator&entry=PASDA&sessionID=258184320201362145143,,PASDA,,http://www.pasda.psu.edu/,,,,,,,,,,,,,,,,,,,,,
2,org,,Allegheny County - Basins,City Planning,Alleghency County,Zip,http://www.pasda.psu.edu/uci/SearchResults.aspx?originator=Allegheny%20County&Keyword=&&searchType=originator&entry=PASDA&sessionID=258184320201362145143,,,,,,,,,,,,,,,,,,,,,,,,,
3,org,,Allegheny County - Blocks,City Planning,Alleghency County,Zip,http://www.pasda.psu.edu/uci/SearchResults.aspx?originator=Allegheny%20County&Keyword=&&searchType=originator&entry=PASDA&sessionID=258184320201362145143,,,,,,,,,,,,,,,,,,,,,,,,,
4,org,,Allegheny County - Building Footprints,City Planning,Alleghency County,Zip,http://www.pasda.psu.edu/uci/SearchResults.aspx?originator=Allegheny%20County&Keyword=&&searchType=originator&entry=PASDA&sessionID=258184320201362145143,,,,,,,,,,,,,,,,,,,,,,,,,
5,org,1,,,,,,,Allegheny County Sanitary Authority (ALCOSAN),412-766-4810,http://www.alcosan.org/,"contract awards, rfps ",Sue,Voelzke,Assistant to the Executive Director,412-734-8363,,3300 Preble Avenue,,Pittsburgh,PA,15233,412-734-8710,1,1,http://www.alcosan.org/CustomerCare/AccesstoPublicRecords/tabid/103/Default.aspx,http://www.alcosan.org/Portals/0/PDFs/Public%20Record%20Policy%20postable%20form.pdf,http://www.alcosan.org/Portals/0/PDFs/Record%20Request%20Form%20revised%202008.12.23%20TJB.pdf,0,,,
6,org,2,,,,,,,Allegheny Regional Asset District (ARAD),412-227-1900,suspended - no go,,,,,,,,,,,,,0,0,,,,,,,
7,org,3,,,,,,,Animal Care & Control,412-255-2036,http://pittsburghpa.gov/animalcontrol/,"dog licenses, pet licenses, spayed/neutered data, rabies vacinations, trap rental, overall revenues, nuisance violations, pet ownership, #detained by type of pet",Gerald ,Akrie,Supervisor ,412-255-2036,gerald.akrie@city.pittsburgh.pa.us,3001 Railroad Street,,Pittsburgh,PA,15201,,0,0,,,,0,,,
8,org,4,,,,,,,Art Commission,412-255-8996,http://pittsburghpa.gov/dcp/boards/art-commission,"areas under review, projects funded, geo distribution of funds, applications",Morton,Brown,Public Art Manager,,morton.brown@pittsburghpa.gov,,,,,,,0,0,,,,1,Minutes/Agenda,http://pittsburghpa.gov/dcp/boards/art-commission-archive,PDF
9,org,5,,,,,,,Board of Appeals,412-255-2963,http://www.pittsburghpa.gov/mayor/bac/group?id=7,"appeals, granted vs denied",,,,412-255-2963,,,,,,,,0,0,,,,0,,,
10,org,6,,,,,,,Bureau of Building Inspection,412-255-2175,http://www.city.pittsburgh.pa.us/bbi/,"Licenses administered, permits granted, appeals, registered general contractors, zoning, form data,",,,,,bbi.dpw_requests@pittsburghpa.gov,200 Ross Street,3rd Floor,Pittsburgh,PA,15219,,0,0,,,,0,,,
